,city,latitude,longitude,temperature,humidity,cloudiness,wind speed
346,birao,11.91,24.16,75.5,21.0,20.0,8.41
347,haines junction,57.87,-141.67,16.1,69.0,68.0,6.17
348,port lincoln,-40.83,134.71,63.71,86.0,80.0,16.91
349,ambon,-2.05,126.21,42.8,70.0,75.0,13.87
350,samalaeulu,-3.72,-166.52,,,,
351,patroha,48.15,22.02,28.4,68.0,90.0,8.95
352,estelle,29.42,-89.8,62.6,29.0,5.0,9.17
353,port moresby,-9.11,147.17,75.2,100.0,90.0,3.36
354,inirida,2.76,-69.21,90.17,52.0,12.0,0.25
355,breves,-1.58,-50.17,83.51,81.0,64.0,9.86
356,nizhneyansk,83.93,133.73,,,,
357,limoncito,-18.25,-63.18,82.4,61.0,75.0,4.7
358,eucaliptus,-17.54,-67.47,64.4,52.0,75.0,14.99
359,nemuro,38.19,150.14,27.08,100.0,0.0,15.35
360,birin,35.68,3.65,43.46,86.0,0.0,3.83
361,lata,-7.49,168.44,40.49,60.0,48.0,2.15
362,dekar,-22.08,22.71,78.11,45.0,92.0,3.6
363,naraini,25.07,80.63,70.73,55.0,20.0,7.96
364,pierre,42.88,-99.54,35.6,74.0,90.0,5.61
365,kodiak,43.92,-148.79,41.0,80.0,90.0,14.99
366,ust-kachka,58.03,55.64,15.8,61.0,0.0,13.42
367,havoysund,77.73,23.95,23.0,49.0,0.0,9.17
368,vaitupu,3.09,-175.47,,,,
369,zagare,56.33,23.11,28.4,74.0,90.0,16.11
370,terra santa,-2.32,-56.39,88.37,63.0,12.0,3.71
371,mazagao,-0.33,-51.95,91.4,59.0,40.0,10.29
372,dapdap,12.04,125.85,77.3,100.0,32.0,7.07
373,billingham,54.63,-1.32,42.8,69.0,20.0,5.82
374,karlskrona,55.6,16.14,26.6,86.0,0.0,1.12
375,tome-acu,-2.79,-48.57,,,,
376,rocha,-45.52,-44.16,68.84,54.0,0.0,14.34
377,rawannawi,3.03,175.46,,,,
378,lavrentiya,78.51,-169.94,8.63,100.0,56.0,10.42
379,roblin,51.31,-101.24,27.98,100.0,88.0,6.62
380,puerto colombia,13.36,-77.65,87.8,58.0,40.0,13.87
381,doha,28.44,46.41,69.8,77.0,0.0,1.12
382,vestmannaeyjar,57.88,-17.22,40.49,91.0,80.0,6.17
383,antipovka,49.79,44.94,17.0,90.0,92.0,9.98
384,taksimo,55.09,115.43,5.21,67.0,32.0,1.7
385,elat,29.13,35.64,71.18,95.0,32.0,2.82
386,batemans bay,-38.16,151.99,60.02,100.0,92.0,9.08
387,arlit,20.65,7.44,70.73,25.0,0.0,4.94
388,emporia,38.38,-95.86,44.6,65.0,90.0,12.75
389,safwah,27.13,50.1,,,,
390,sabang,6.28,93.51,72.44,100.0,20.0,3.49
391,san jose de guanipa,9.17,-64.11,93.68,33.0,48.0,13.56
392,winchester,42.45,-71.12,42.8,60.0,20.0,3.36
393,kalmunai,7.8,83.48,74.69,98.0,64.0,1.7
394,bellevue,44.68,-87.7,51.8,61.0,40.0,3.36
395,esperance,-33.16,127.32,87.8,45.0,40.0,7.96
396,nelson bay,-39.06,159.6,71.6,88.0,90.0,23.04
397,tutoia,2.05,-41.95,87.8,70.0,40.0,13.87
398,gayny,60.99,54.45,22.04,87.0,88.0,11.1
399,miramar,22.51,-97.2,82.4,51.0,40.0,10.29
400,panama city,27.97,-86.19,73.4,53.0,1.0,25.28
401,tazovskiy,69.82,78.49,-11.9,76.0,44.0,10.2
402,turukhansk,63.33,88.91,14.03,84.0,76.0,12.44
403,turka,52.44,108.66,19.25,88.0,88.0,4.38
404,takestan,36.04,49.68,53.6,40.0,0.0,2.24
405,chauk,21.01,93.74,69.92,78.0,12.0,2.37
406,owando,-0.71,16.42,74.69,94.0,80.0,1.48
407,verkhniy avzyan,53.54,57.5,0.62,59.0,0.0,2.71
408,camacupa,-12.14,18.45,65.51,89.0,68.0,5.39
409,terney,45.69,136.91,22.13,100.0,0.0,9.64
410,deputatskiy,69.85,138.77,-38.81,77.0,8.0,2.71
411,nouadhibou,22.93,-19.59,68.0,60.0,0.0,26.4
412,klaksvik,69.66,-2.46,42.8,81.0,48.0,5.82
413,kaohsiung,22.43,120.15,66.2,72.0,40.0,10.29
414,rovaniemi,65.87,26.26,12.2,72.0,0.0,12.75
415,mundo nuevo,19.93,-94.34,68.0,77.0,0.0,11.41
416,vardo,80.31,35.38,30.2,92.0,90.0,12.75
417,sisimiut,67.71,-54.66,19.97,89.0,88.0,2.04
418,sakakah,28.74,39.91,,,,
419,bouake,7.84,-4.69,84.2,70.0,40.0,6.93
420,bagotville,49.43,-70.54,74.24,100.0,100.0,14.67
421,shwebo,23.2,95.63,69.2,80.0,32.0,2.93
422,bandarbeyla,8.95,50.33,78.2,100.0,0.0,11.65
423,evanston,41.52,-110.75,37.4,59.0,20.0,18.34
424,honningsvag,79.87,25.89,21.2,67.0,20.0,19.46
425,ampanihy,-25.3,43.56,70.55,89.0,0.0,7.96
426,inhambane,-27.49,36.68,74.42,100.0,44.0,8.75
427,lagoa,46.43,-31.32,55.4,43.0,0.0,8.05
428,acapulco,2.68,-106.06,82.4,69.0,5.0,3.36
429,burgeo,47.4,-57.25,31.13,100.0,68.0,26.42
430,livramento,-13.77,-41.7,87.8,66.0,20.0,6.93
431,miri,6.72,112.81,68.66,55.0,0.0,2.15
432,sorland,67.92,9.22,35.6,99.0,75.0,10.29
433,snyder,33.08,-100.65,59.0,22.0,1.0,5.82
434,makakilo city,12.12,-162.36,75.2,77.0,90.0,8.05
435,jinchang,41.02,102.07,30.77,65.0,8.0,8.97
436,urdzhar,47.4,81.36,,,,
437,otane,-40.87,177.98,58.4,91.0,0.0,3.15
438,santa luzia,-7.62,-46.97,86.0,54.0,20.0,5.82
439,rosia,46.76,22.45,46.4,75.0,40.0,13.87
440,azimur,35.05,-8.93,,,,
441,carmen,19.16,-92.32,69.83,94.0,0.0,2.82
442,tankhoy,51.35,105.15,24.74,78.0,8.0,8.75
443,scarborough,55.75,1.02,42.8,86.0,44.0,2.24
444,jhanjharpur,26.07,86.34,64.7,53.0,8.0,3.04
445,watsa,3.42,29.48,65.69,98.0,92.0,3.04
446,alofi,-26.74,-168.42,75.2,100.0,75.0,2.24
447,hami,43.8,90.92,36.08,76.0,0.0,2.59
448,saraland,31.52,-87.77,71.6,35.0,20.0,10.29
449,kualakapuas,-3.37,113.91,73.79,97.0,20.0,3.38
450,rincon,12.85,-68.48,82.4,88.0,1.0,10.29
451,aksarka,68.68,68.04,-16.94,49.0,36.0,9.42
452,muisne,2.41,-83.33,83.96,74.0,12.0,5.39
453,gao,15.75,-0.99,79.55,23.0,0.0,6.73
454,bonito,-20.76,-56.3,85.76,72.0,24.0,5.73
455,banska bystrica,48.74,19.25,30.2,50.0,75.0,19.46
456,oyama,33.36,138.57,41.0,60.0,75.0,14.99
457,camana,-19.3,-73.97,,,,
458,tunxi,29.6,118.6,,,,
459,naze,23.37,138.01,74.15,93.0,48.0,3.71
460,kharitonovo,62.23,47.54,20.6,88.0,76.0,16.69
461,guozhen,34.8,107.36,32.21,98.0,20.0,2.93
462,kavieng,-1.06,150.57,83.06,100.0,56.0,10.65
463,labrea,-6.33,-65.53,,,,
464,alpinopolis,-21.02,-46.41,81.98,61.0,32.0,3.6
465,taoudenni,25.19,-6.92,66.68,20.0,0.0,7.96
466,corumba,-19.42,-57.84,84.2,69.0,40.0,5.82
467,maniitsoq,62.99,-56.13,28.07,80.0,12.0,3.15
468,redlands,39.81,-109.53,77.0,28.0,1.0,2.59
469,bubaque,6.5,-18.7,84.2,62.0,0.0,11.41
470,kangaatsiaq,69.8,-55.8,16.73,100.0,92.0,11.43
471,okhotsk,60.32,144.9,4.94,100.0,32.0,6.06
472,bedele,8.44,36.93,58.13,99.0,76.0,2.71
473,kruisfontein,-65.5,26.19,62.72,97.0,8.0,10.98
474,mount gambier,-52.65,129.37,54.44,62.0,0.0,6.85
475,mumford,0.19,1.6,80.9,84.0,8.0,11.99
476,half moon bay,29.87,-136.75,55.4,81.0,75.0,9.17
477,storforshei,65.83,15.59,28.4,92.0,90.0,3.36
478,moree,-28.9,147.07,66.5,79.0,8.0,5.28
479,mudgee,-32.15,149.77,63.98,82.0,36.0,17.25
480,aquiraz,1.8,-34.27,84.2,74.0,40.0,8.05
481,danielskuil,-28.61,22.76,68.75,56.0,32.0,11.21
482,berlevag,78.94,29.85,19.4,67.0,8.0,24.16
483,biga,40.38,27.51,50.21,68.0,24.0,7.52
484,sitka,48.41,-139.04,58.94,58.0,0.0,9.98
485,aflu,33.63,0.08,,,,
486,tharad,24.27,71.32,71.45,30.0,0.0,9.42
487,pizarro,3.81,-81.3,80.45,87.0,76.0,7.74
488,goderich,2.02,-20.26,36.53,52.0,8.0,15.35
489,louisbourg,37.99,-57.71,,,,
490,supaul,26.06,86.7,64.7,53.0,8.0,3.04
491,sioux lookout,56.62,-89.88,26.6,27.0,75.0,3.36
492,chinsali,-10.33,31.85,63.71,96.0,24.0,6.17
493,gizo,-11.53,156.96,62.6,82.0,0.0,3.36
494,jalu,26.29,21.03,66.86,35.0,0.0,11.54
495,asfi,31.96,-10.55,,,,
496,esso,55.74,158.13,4.22,84.0,76.0,2.59
497,braslav,55.67,27.33,,,,
498,rambha,19.33,85.24,72.98,81.0,12.0,1.36
499,amboasary,-24.06,45.97,75.2,94.0,20.0,2.24
500,saleaula,3.37,-169.5,,,,
501,yanam,13.91,85.18,76.67,89.0,12.0,5.39
502,toliary,-21.93,42.76,,,,
503,yavaros,26.47,-109.56,84.14,30.0,8.0,14.23
504,kushiro,40.61,144.2,7.73,75.0,0.0,2.26
505,san luis,16.19,-89.82,76.4,21.0,0.0,13.78
506,lufilufi,-9.71,-169.57,78.8,83.0,75.0,8.05
507,harper,-2.45,-9.8,69.8,25.0,1.0,9.17
508,mahajanga,-14.61,45.64,80.6,83.0,20.0,4.7
509,acari,-17.15,-75.02,74.15,88.0,48.0,6.4
510,anadyr,63.52,173.85,-9.41,76.0,0.0,2.24
511,tuggurt,34.16,5.94,,,,
512,sur,14.93,63.72,71.99,100.0,0.0,2.15
513,tarudant,27.89,-5.09,,,,
514,hede,33.77,120.84,26.6,68.0,0.0,3.36
515,haines city,28.05,-81.63,80.6,83.0,75.0,20.8
516,upata,6.14,-61.72,86.93,47.0,80.0,11.99
517,flin flon,62.92,-102.72,28.4,42.0,40.0,6.93
518,bandar-e lengeh,27.11,54.64,71.72,100.0,0.0,8.3
519,saint-augustin,58.36,-58.87,46.4,49.0,0.0,11.41
520,tigil,59.58,157.74,13.58,79.0,64.0,7.96
521,kurilsk,47.0,146.52,19.16,100.0,36.0,14.0
522,lima,-17.47,-85.83,70.28,70.0,32.0,2.71
523,belaya gora,70.22,145.38,-36.47,72.0,8.0,3.15
524,japura,-0.96,-68.68,72.8,98.0,48.0,2.04
525,mopipi,-22.43,24.3,82.7,37.0,64.0,8.75
526,barra patuca,16.74,-84.0,82.88,83.0,8.0,14.12
527,bull savanna,17.04,-78.19,83.24,56.0,36.0,7.74
528,mathbaria,21.61,89.87,69.74,92.0,0.0,2.48
529,kananga,-5.74,22.5,71.81,91.0,92.0,2.71
530,zhezkazgan,47.11,68.81,35.45,83.0,8.0,6.96
531,jonkoping,57.48,14.32,24.8,68.0,0.0,2.37
532,lunel,43.67,4.17,44.6,36.0,0.0,11.41
533,kiama,-37.6,156.73,59.0,100.0,90.0,11.41
534,christchurch,-49.46,177.36,60.8,93.0,0.0,4.7
535,tumannyy,80.33,39.99,,,,
536,petropavlovsk-kamchatskiy,53.7,159.91,14.0,72.0,8.0,4.47
537,taltal,-25.08,-79.15,69.74,67.0,0.0,3.94
538,puerto escondido,8.48,-98.77,82.4,69.0,5.0,11.41
539,santa cruz,6.76,-90.42,55.4,87.0,75.0,5.82
540,abu samrah,23.38,49.02,53.54,58.0,8.0,7.4
541,sofiysk,52.61,134.15,,,,
542,mogzon,51.25,111.68,25.64,80.0,12.0,3.6
543,kibala,-11.14,15.92,93.2,38.0,0.0,4.27
544,revelstoke,51.47,-117.82,39.2,80.0,90.0,3.36
545,weatherford,35.82,-98.62,62.6,36.0,5.0,13.87
546,kodinsk,60.93,99.62,23.84,62.0,80.0,7.74
547,waipawa,-41.49,176.17,62.36,76.0,0.0,7.18
548,sibolga,-0.62,94.63,66.68,100.0,48.0,1.14
549,sanok,49.48,22.28,24.8,85.0,75.0,5.82
550,salym,59.93,71.85,20.24,78.0,48.0,6.96
551,ternate,1.8,128.85,80.6,83.0,40.0,8.05
552,sumbe,-10.4,12.55,75.77,100.0,88.0,4.61
553,orlik,52.46,99.51,-4.97,65.0,0.0,2.15
554,tarata,-17.04,-70.0,55.79,75.0,80.0,2.59
555,araouane,19.05,-3.17,73.79,18.0,0.0,8.41
556,buraydah,26.77,44.13,80.6,30.0,0.0,5.82
557,nijar,37.01,-2.17,53.6,37.0,20.0,11.41
558,soyo,-7.15,8.0,77.93,88.0,32.0,3.38
559,kununurra,-14.56,127.87,77.0,88.0,8.0,5.28
560,prince rupert,54.04,-129.68,41.0,80.0,90.0,6.93
561,moussoro,14.29,16.91,72.8,44.0,0.0,4.16
562,sim,54.66,57.56,85.4,49.0,32.0,7.74
563,werda,-24.83,23.0,26.6,86.0,75.0,8.05
564,mendahara,-0.13,102.46,,,,
565,aliwal north,-30.6,26.99,52.46,91.0,0.0,4.83
566,igarka,67.9,84.54,6.2,80.0,68.0,13.78
567,palana,59.95,160.61,12.14,88.0,32.0,3.38
568,santa fe,-30.31,-60.53,81.8,31.0,0.0,9.53
569,ngukurr,-14.94,135.22,,,,
570,kedrovyy,56.66,79.41,17.6,67.0,0.0,2.24
571,vila velha,-22.76,-36.81,84.2,74.0,40.0,8.05
572,beruwala,5.73,78.02,77.39,100.0,76.0,3.94
573,cayenne,13.81,-46.01,84.2,74.0,80.0,13.87
574,kashi,40.17,75.86,,,,
575,pevek,86.19,174.25,-24.86,76.0,0.0,6.62
576,shiyan,33.34,111.11,27.53,79.0,0.0,2.15
577,kirensk,59.37,107.57,24.56,73.0,92.0,10.54
578,kendari,-3.6,124.34,72.8,97.0,32.0,2.71
579,eidsvag,62.58,8.0,35.6,100.0,75.0,16.11
580,meulaboh,3.62,94.74,76.76,100.0,24.0,5.28
581,honiara,-11.71,159.71,73.4,94.0,40.0,4.7
582,shanghai,30.67,121.61,41.0,93.0,75.0,6.71
583,segovia,7.27,-74.61,41.0,56.0,75.0,17.22
584,atlatlahuca,19.07,-99.61,,,,
585,cardenas,23.0,-81.09,78.8,24.0,5.0,10.29
586,pilar,10.05,127.43,77.0,44.0,20.0,10.29
587,alyangula,-15.63,139.86,78.29,100.0,80.0,14.0
588,kinshasa,-4.32,15.47,84.2,74.0,20.0,4.7
589,kem,65.5,34.97,64.34,93.0,8.0,4.38
590,listvyanka,52.32,105.15,35.6,69.0,0.0,8.95
591,havre-saint-pierre,50.71,-62.83,30.2,86.0,90.0,25.28
592,subate,55.91,26.07,27.26,83.0,44.0,12.21
593,geraldton,-32.94,102.78,19.4,20.0,5.0,8.05
594,fernandopolis,-20.28,-50.37,83.51,64.0,48.0,1.59
595,urambo,-5.11,31.96,68.03,87.0,76.0,3.38
596,rabo de peixe,38.81,-25.17,62.6,93.0,20.0,13.87
597,la rioja,-27.78,-67.47,82.34,31.0,0.0,3.71
598,voskresenskoye,56.44,45.3,20.06,91.0,56.0,5.95
599,gravelbourg,50.07,-106.51,26.63,100.0,32.0,5.73
600,zhucheng,35.98,119.1,39.2,80.0,0.0,4.47
601,divnomorskoye,42.93,37.56,49.94,95.0,68.0,14.45
602,homer,59.3,-152.5,39.2,38.0,1.0,17.22
603,valle de allende,26.88,-105.61,76.13,14.0,0.0,5.61
604,koszalin,54.49,16.06,30.5,71.0,76.0,9.64
605,lasa,29.59,89.78,60.8,66.0,20.0,6.93
606,hervey bay,-25.45,154.52,76.4,96.0,88.0,15.46
607,papara,-19.1,-150.21,84.2,74.0,40.0,8.05
608,shupiyan,33.43,74.79,35.9,85.0,88.0,1.92
609,mehamn,86.92,29.45,21.2,72.0,40.0,16.11
610,smithers,57.25,-125.97,37.4,56.0,75.0,5.82
611,mouila,-2.13,10.57,74.33,99.0,92.0,1.92
612,conceicao da barra,-20.03,-36.93,81.71,88.0,0.0,15.01
613,chagda,58.68,130.01,,,,
614,pultusk,52.73,21.1,26.6,63.0,0.0,6.93
615,mogadishu,0.39,47.63,81.26,100.0,76.0,16.46
616,mansa,-10.93,28.86,75.2,31.0,0.0,6.4
617,samandag,36.45,35.77,,,,
618,marcona,-22.91,-80.56,,,,
619,noumea,-26.07,165.36,68.0,88.0,0.0,6.29
620,mitsamiouli,-9.49,44.5,81.08,100.0,0.0,0.58
621,qasigiannguit,67.38,-50.52,17.6,92.0,90.0,3.36
622,healdsburg,38.2,-123.75,57.2,76.0,90.0,16.11
623,kizukuri,41.68,138.82,20.33,100.0,0.0,4.83
624,viligili,0.14,74.09,,,,
625,attawapiskat,62.22,-86.94,,,,
626,teahupoo,-19.28,-147.97,86.0,62.0,40.0,3.36
627,hovd,43.62,101.04,35.6,80.0,90.0,14.99
628,yelizovo,52.43,157.77,14.0,72.0,48.0,4.47
629,san jose,10.95,-91.31,67.49,95.0,24.0,2.04
630,clarence town,22.8,-76.1,71.6,88.0,90.0,23.04
631,hobyo,5.32,50.02,80.9,86.0,92.0,13.0
632,port-cartier,54.41,-69.23,41.0,38.0,75.0,13.87
633,aklavik,75.16,-138.77,6.8,65.0,75.0,2.24
634,lazarev,52.85,141.41,9.8,76.0,56.0,7.4
635,candawaga,9.26,117.02,,,,
636,moron,11.18,-68.23,93.2,32.0,0.0,2.24
637,mut,36.44,33.22,49.85,38.0,0.0,4.61
638,obidos,-2.13,-55.59,51.8,76.0,20.0,14.99
639,damghan,35.16,54.95,44.63,83.0,0.0,2.82
640,voyvozh,63.27,55.09,0.35,73.0,68.0,9.42
641,ashland,41.97,-122.54,42.8,86.0,90.0,5.82
642,strezhevoy,61.07,77.23,21.2,92.0,75.0,13.42
643,maumere,-9.44,122.46,80.09,100.0,68.0,6.29
644,solnechnyy,63.14,138.72,22.4,71.0,88.0,6.62
645,san lawrenz,35.29,13.46,60.8,77.0,0.0,16.11
646,labuhan,-21.71,92.86,72.44,96.0,76.0,0.81
647,marsa matruh,30.12,26.17,64.4,88.0,20.0,11.41
648,bosobolo,4.01,19.78,76.04,74.0,8.0,9.42
649,baishishan,43.24,127.41,-0.38,63.0,0.0,2.59
650,sinjar,36.15,41.4,53.54,58.0,8.0,7.4
651,nuqui,5.73,-78.06,77.21,100.0,44.0,3.6
652,ballangen,67.9,16.9,26.6,92.0,90.0,16.11
653,kiunga,-6.69,140.56,70.64,99.0,92.0,2.71
654,panjab,33.91,66.77,25.01,85.0,0.0,2.04
655,san vicente,18.34,124.97,89.6,38.0,20.0,8.05
656,pecos,31.0,-103.91,62.6,25.0,1.0,3.36
657,muscat,24.3,59.63,75.2,69.0,0.0,2.24
658,eyl,7.96,49.97,76.31,100.0,56.0,12.77
659,flinders,-33.31,128.33,59.0,100.0,90.0,11.41
660,ginir,7.44,40.38,55.88,73.0,0.0,2.48
661,sroda wielkopolska,52.23,17.33,32.0,82.0,20.0,9.17
662,saint-pierre,39.51,-55.44,37.4,64.0,0.0,11.41
663,raahe,64.6,24.76,8.6,92.0,0.0,4.7
664,ulundurpettai,11.69,79.32,,,,
665,cherdyn,60.59,56.33,21.32,85.0,80.0,10.87
666,margate,-38.92,41.19,46.4,75.0,75.0,9.17
667,talnakh,69.87,89.47,-2.27,81.0,68.0,23.29
668,berezovyy,51.46,135.63,20.96,65.0,36.0,7.96
669,la palma,6.06,-79.95,74.6,84.0,24.0,2.15
670,constitucion,23.64,-115.4,71.6,11.0,5.0,9.17
671,cocal,-3.61,-41.88,87.8,70.0,40.0,13.87
672,dalnerechensk,46.09,133.73,-0.92,68.0,0.0,3.27
673,kambove,-10.54,25.71,65.87,96.0,80.0,2.93
674,wuda,38.94,107.68,34.46,90.0,0.0,8.63
675,batagay-alyta,66.25,130.89,-28.73,42.0,8.0,2.71
676,quatre cocos,-18.82,61.11,80.6,88.0,75.0,5.95
677,ushtobe,45.97,78.15,39.05,80.0,0.0,2.93
678,sinnamary,15.39,-48.14,79.73,97.0,88.0,11.77
679,ornskoldsvik,65.67,18.31,23.0,62.0,0.0,10.29
680,gomel,52.88,31.14,,,,
681,mehran,32.81,46.09,53.6,58.0,0.0,4.7
682,makali,8.36,-12.01,82.43,64.0,32.0,7.52
683,alirajpur,22.2,74.27,66.41,50.0,0.0,4.72
684,big spring,31.68,-101.58,66.2,18.0,1.0,5.82
685,saint-francois,17.62,-56.53,35.6,64.0,0.0,13.87
686,formosa do rio preto,-10.86,-44.82,73.7,92.0,56.0,3.27
687,haibowan,41.82,107.82,,,,
688,pisco,-24.83,-89.9,77.0,61.0,0.0,12.75
689,banjar,-12.74,105.81,67.58,92.0,24.0,1.7
690,jinxiang,27.21,121.5,27.98,80.0,0.0,7.63
691,rawson,-48.08,-58.03,60.56,35.0,0.0,4.83
692,tucuma,0.43,-49.81,,,,
693,goundam,16.99,-3.96,80.54,29.0,0.0,7.18
694,cap malheureux,-13.66,58.39,80.6,88.0,75.0,9.53
695,horsham,-36.36,141.1,53.9,73.0,80.0,12.88
696,rantauprapat,2.08,100.15,70.82,95.0,48.0,2.37
697,tura,67.1,102.34,63.35,81.0,24.0,2.37
698,karratha,-17.31,114.82,82.16,74.0,8.0,7.18
699,nantucket,39.36,-69.06,35.6,55.0,1.0,13.87
